ano,rodada,circuito,pais,piloto,equipe,posicao,pontos,grid,voltas,status
1990,1,Phoenix street circuit,USA,Senna,McLaren,1,9,5,72,Finished
1990,1,Phoenix street circuit,USA,Alesi,Tyrrell,2,6,4,72,Finished
1990,1,Phoenix street circuit,USA,Boutsen,Williams,3,4,9,72,Finished
1990,1,Phoenix street circuit,USA,Piquet,Benetton,4,3,6,72,Finished
1990,1,Phoenix street circuit,USA,Modena,Brabham,5,2,10,72,Finished
1990,1,Phoenix street circuit,USA,Nakajima,Tyrrell,6,1,11,71,+1 Lap
1990,1,Phoenix street circuit,USA,Martini,Minardi,7,0,2,71,+1 Lap
1990,1,Phoenix street circuit,USA,Bernard,Larrousse,8,0,15,71,+1 Lap
1990,1,Phoenix street circuit,USA,Patrese,Williams,9,0,12,71,+1 Lap
1990,1,Phoenix street circuit,USA,Alboreto,Arrows,10,0,21,70,+2 Laps
1990,1,Phoenix street circuit,USA,Nannini,Benetton,11,0,22,70,+2 Laps
1990,1,Phoenix street circuit,USA,Schneider,Arrows,12,0,20,70,+2 Laps
1990,1,Phoenix street circuit,USA,Moreno,Euro Brun,13,0,16,67,+5 Laps
1990,1,Phoenix street circuit,USA,Gugelmin,Leyton House,14,0,25,66,+6 Laps
1990,1,Phoenix street circuit,USA,Barilla,Minardi,15,0,14,54,Physical
1990,1,Phoenix street circuit,USA,Suzuki,Larrousse,16,0,18,53,Brakes
1990,1,Phoenix street circuit,USA,Mansell,Ferrari,17,0,17,49,Clutch
1990,1,Phoenix street circuit,USA,Berger,McLaren,18,0,1,44,Clutch
1990,1,Phoenix street circuit,USA,Foitek,Brabham,19,0,23,39,Accident
1990,1,Phoenix street circuit,USA,Grouillard,Osella,20,0,8,39,Collision
1990,1,Phoenix street circuit,USA,de Cesaris,Dallara,21,0,3,25,Engine
1990,1,Phoenix street circuit,USA,Prost,Ferrari,22,0,7,21,Oil leak
1990,1,Phoenix street circuit,USA,Capelli,Leyton House,23,0,26,20,Electrical
1990,1,Phoenix street circuit,USA,Warwick,Team Lotus,24,0,24,6,Gearbox
1990,1,Phoenix street circuit,USA,Larini,Ligier,25,0,13,4,Throttle
1990,1,Phoenix street circuit,USA,Donnelly,Team Lotus,26,0,19,0,Gearbox
1990,1,Phoenix street circuit,USA,Alliot,Ligier,27,0,0,0,Disqualified
1990,2,Autódromo José Carlos Pace,Brazil,Prost,Ferrari,1,9,6,71,Finished
1990,2,Autódromo José Carlos Pace,Brazil,Berger,McLaren,2,6,2,71,Finished
1990,2,Autódromo José Carlos Pace,Brazil,Senna,McLaren,3,4,1,71,Finished
